SKU,Type,Parent SKU,Name,Attribute:Color,Attribute:Color Visible,Attribute:Color Global,Images,Image Alt Text,HEX,Description
ak-1219,variation,kosbud,AK 1219,AK 1219,1,1,colors/ak-1219.png,AK 1219 – #c9cab6 swatch,#c9cab6,"Колір AK 1219, HEX #c9cab6"
ak-1220,variation,kosbud,AK 1220,AK 1220,1,1,colors/ak-1220.png,AK 1220 – #b1b296 swatch,#b1b296,"Колір AK 1220, HEX #b1b296"
ak-1222,variation,kosbud,AK 1222,AK 1222,1,1,colors/ak-1222.png,AK 1222 – #e2d8ca swatch,#e2d8ca,"Колір AK 1222, HEX #e2d8ca"
ak-1223,variation,kosbud,AK 1223,AK 1223,1,1,colors/ak-1223.png,AK 1223 – #e6d3c4 swatch,#e6d3c4,"Колір AK 1223, HEX #e6d3c4"
ak-1224,variation,kosbud,AK 1224,AK 1224,1,1,colors/ak-1224.png,AK 1224 – #e1c7ae swatch,#e1c7ae,"Колір AK 1224, HEX #e1c7ae"
ak-1226,variation,kosbud,AK 1226,AK 1226,1,1,colors/ak-1226.png,AK 1226 – #eae1d3 swatch,#eae1d3,"Колір AK 1226, HEX #eae1d3"
ak-1227,variation,kosbud,AK 1227,AK 1227,1,1,colors/ak-1227.png,AK 1227 – #e4d8c5 swatch,#e4d8c5,"Колір AK 1227, HEX #e4d8c5"
ak-1228,variation,kosbud,AK 1228,AK 1228,1,1,colors/ak-1228.png,AK 1228 – #e3d1c1 swatch,#e3d1c1,"Колір AK 1228, HEX #e3d1c1"
ak-1229,variation,kosbud,AK 1229,AK 1229,1,1,colors/ak-1229.png,AK 1229 – #e0c0a9 swatch,#e0c0a9,"Колір AK 1229, HEX #e0c0a9"
ak-1230,variation,kosbud,AK 1230,AK 1230,1,1,colors/ak-1230.png,AK 1230 – #d8b194 swatch,#d8b194,"Колір AK 1230, HEX #d8b194"
bk-1231,variation,kosbud,BK 1231,BK 1231,1,1,colors/bk-1231.png,BK 1231 – #aa836e swatch,#aa836e,"Колір BK 1231, HEX #aa836e"
bk-1232,variation,kosbud,BK 1232,BK 1232,1,1,colors/bk-1232.png,BK 1232 – #a57d67 swatch,#a57d67,"Колір BK 1232, HEX #a57d67"
ck-1233,variation,kosbud,CK 1233,CK 1233,1,1,colors/ck-1233.png,CK 1233 – #8c6e53 swatch,#8c6e53,"Колір CK 1233, HEX #8c6e53"
bk-1234,variation,kosbud,BK 1234,BK 1234,1,1,colors/bk-1234.png,BK 1234 – #83644c swatch,#83644c,"Колір BK 1234, HEX #83644c"
dk-1235,variation,kosbud,DK 1235,DK 1235,1,1,colors/dk-1235.png,DK 1235 – #64534d swatch,#64534d,"Колір DK 1235, HEX #64534d"
bk-1236,variation,kosbud,BK 1236,BK 1236,1,1,colors/bk-1236.png,BK 1236 – #edeae5 swatch,#edeae5,"Колір BK 1236, HEX #edeae5"
ak-1237,variation,kosbud,AK 1237,AK 1237,1,1,colors/ak-1237.png,AK 1237 – #c3c4bf swatch,#c3c4bf,"Колір AK 1237, HEX #c3c4bf"
ak-1238,variation,kosbud,AK 1238,AK 1238,1,1,colors/ak-1238.png,AK 1238 – #bbbbb5 swatch,#bbbbb5,"Колір AK 1238, HEX #bbbbb5"
ak-1239,variation,kosbud,AK 1239,AK 1239,1,1,colors/ak-1239.png,AK 1239 – #a8aca7 swatch,#a8aca7,"Колір AK 1239, HEX #a8aca7"
ak-1240,variation,kosbud,AK 1240,AK 1240,1,1,colors/ak-1240.png,AK 1240 – #9ea19c swatch,#9ea19c,"Колір AK 1240, HEX #9ea19c"
ak-1242,variation,kosbud,AK 1242,AK 1242,1,1,colors/ak-1242.png,AK 1242 – #d3d1cd swatch,#d3d1cd,"Колір AK 1242, HEX #d3d1cd"
ak-1243,variation,kosbud,AK 1243,AK 1243,1,1,colors/ak-1243.png,AK 1243 – #c3c4bf swatch,#c3c4bf,"Колір AK 1243, HEX #c3c4bf"
bk-1244,variation,kosbud,BK 1244,BK 1244,1,1,colors/bk-1244.png,BK 1244 – #a9aba9 swatch,#a9aba9,"Колір BK 1244, HEX #a9aba9"
bk-1245,variation,kosbud,BK 1245,BK 1245,1,1,colors/bk-1245.png,BK 1245 – #979c9a swatch,#979c9a,"Колір BK 1245, HEX #979c9a"
ak-1246,variation,kosbud,AK 1246,AK 1246,1,1,colors/ak-1246.png,AK 1246 – #dcd9d4 swatch,#dcd9d4,"Колір AK 1246, HEX #dcd9d4"
